depth_cm,dose_au_per_cm
0.005,11500.0
0.015,12600.0
0.025,12300.0
0.035,11200.0
0.045,10700.0
0.055,12100.0
0.065,13000.0
0.07500000000000001,11100.0
0.08499999999999999,12300.0
0.095,11800.0
0.10500000000000001,9600.0
0.11499999999999999,11800.0
0.125,10100.0
0.135,8900.0
0.14500000000000002,7400.0
0.155,8900.0
0.165,9400.0
0.175,11600.0
0.185,9100.0
0.195,11400.0
0.20500000000000002,8100.0
0.215,8600.0
0.225,9200.0
0.235,9400.0
0.245,11300.0
0.255,10200.0
0.265,9000.0
0.275,9100.0
0.28500000000000003,8900.0
0.295,9300.0
0.305,4200.0
0.315,4300.0
0.325,3400.0
0.335,4300.0
0.34500000000000003,5100.0
0.355,4500.0
0.365,4200.0
0.375,4300.0
0.385,3700.0
0.395,4400.0
0.405,4500.0
0.41500000000000004,3800.0
0.425,3500.0
0.435,3500.0
0.445,4100.0
0.455,4200.0
0.465,4100.0
0.475,4600.0
0.485,5000.0
0.495,4900.0
0.505,3900.0
0.515,3900.0
0.525,4300.0
0.535,4400.0
0.545,4400.0
0.555,3200.0
0.5650000000000001,3100.0
0.575,4100.0
0.585,4400.0
0.595,3900.0
0.605,4500.0
0.615,4000.0
0.625,3900.0
0.635,4000.0
0.645,3800.0
0.655,4200.0
0.665,4400.0
0.675,3900.0
0.685,3100.0
0.6950000000000001,4400.0
0.7050000000000001,3500.0
0.715,3500.0
0.725,2800.0
0.735,3100.0
0.745,4500.0
0.755,4100.0
0.765,4200.0
0.775,5000.0
0.785,2500.0
0.795,4400.0
0.805,7100.0
0.8150000000000001,6500.0
0.8250000000000001,7500.0
0.835,9200.0
0.845,7200.0
0.855,7700.0
0.865,8200.0
0.875,7200.0
0.885,6700.0
0.895,7300.0
0.905,7800.0
0.915,6800.0
0.925,7600.0
0.935,7100.0
0.9450000000000001,8000.0
0.9550000000000001,7500.0
0.965,6000.0
0.975,7500.0
0.985,7300.0
0.995,5900.0
1.005,8200.0
1.0150000000000001,6600.0
1.025,7800.0
1.0350000000000001,8400.0
1.045,7300.0
1.0550000000000002,7600.0
1.065,6400.0
1.0750000000000002,5700.0
1.085,6400.0
1.0950000000000002,7200.0
1.105,7400.0
1.1150000000000002,6000.0
1.125,6600.0
1.1350000000000002,6600.0
1.145,8200.0
1.155,5500.0
1.165,5900.0
1.1749999999999998,5500.0
1.185,7500.0
1.1949999999999998,8400.0
1.205,9400.0
1.2149999999999999,5700.0
1.225,7100.0
1.2349999999999999,6200.0
1.245,7200.0
1.255,6100.0
1.2650000000000001,7200.0
1.275,7100.0
1.2850000000000001,5600.0
1.295,6200.0
1.3050000000000002,7600.0
1.315,7000.0
1.3250000000000002,6100.0
1.335,7500.0
1.3450000000000002,6200.0
1.355,7200.0
1.3650000000000002,7000.0
1.375,8200.0
1.3850000000000002,7500.0
1.395,8000.0
1.405,6800.0
1.415,7900.0
1.4249999999999998,7600.0
1.435,7000.0
1.4449999999999998,5800.0
1.455,6900.0
1.4649999999999999,7200.0
1.475,5800.0
1.4849999999999999,7000.0
1.495,6700.0
1.505,6200.0
1.5150000000000001,8300.0
1.525,5700.0
1.5350000000000001,5900.0
1.545,6900.0
1.5550000000000002,7300.0
1.565,8000.0
1.5750000000000002,7100.0
1.585,6800.0
1.5950000000000002,6000.0
1.605,7200.0
1.6150000000000002,8900.0
1.625,7300.0
1.6350000000000002,5300.0
1.645,8900.0
1.6550000000000002,7200.0
1.665,7800.0
1.6749999999999998,5500.0
1.685,6700.0
1.6949999999999998,7100.0
1.705,7500.0
1.7149999999999999,6300.0
1.725,6000.0
1.7349999999999999,6700.0
1.745,7600.0
1.755,5900.0
1.7650000000000001,7900.0
1.775,5800.0
1.7850000000000001,6600.0
1.795,7500.0
1.8050000000000002,7600.0
1.815,7000.0
1.8250000000000002,7900.0
1.835,5200.0
1.8450000000000002,6700.0
1.855,6200.0
1.8650000000000002,7400.0
1.875,6700.0
1.8850000000000002,7300.0
1.895,6800.0
1.9050000000000002,5800.0
1.915,7000.0
1.9249999999999998,5200.0
1.935,5700.0
1.9449999999999998,7100.0
1.955,6200.0
1.9649999999999999,6500.0
1.975,7100.0
1.9849999999999999,6700.0
1.995,5400.0
2.005,15200.0
2.015,14400.0
2.0250000000000004,14000.0
2.035,13100.0
2.045,13300.0
2.0549999999999997,13700.0
2.065,12100.0
2.075,14200.0
2.085,13000.0
2.0949999999999998,13700.0
2.105,12800.0
2.115,13800.0
2.125,12200.0
2.135,12800.0
2.145,11400.0
2.1550000000000002,11400.0
2.165,15600.0
2.175,12400.0
2.185,13100.0
2.1950000000000003,13400.0
2.205,11700.0
2.215,13000.0
2.225,12400.0
2.2350000000000003,12300.0
2.245,12300.0
2.255,13300.0
2.265,11300.0
2.2750000000000004,13300.0
2.285,11800.0
2.295,11900.0
2.305,12900.0
2.315,11600.0
2.325,10800.0
2.335,13700.0
2.3449999999999998,12600.0
2.355,12500.0
2.365,12300.0
2.375,10000.0
2.385,11700.0
2.395,11500.0
2.4050000000000002,12300.0
2.415,11900.0
2.425,11500.0
2.435,11900.0
2.4450000000000003,12200.0
2.455,10600.0
2.465,11900.0
2.475,12300.0
2.4850000000000003,11800.0
2.495,12600.0
